Entity,Code,Year,Period life expectancy at birth
Argentina,ARG,1990,71.6145
Argentina,ARG,1991,72.0204
Argentina,ARG,1992,72.0958
Argentina,ARG,1993,72.3033
Argentina,ARG,1994,72.7317
Argentina,ARG,1995,72.8644
Argentina,ARG,1996,73.0565
Argentina,ARG,1997,73.4071
Argentina,ARG,1998,73.4121
Argentina,ARG,1999,73.6833
Argentina,ARG,2000,73.91
Argentina,ARG,2001,74.1542
Argentina,ARG,2002,74.3122
Argentina,ARG,2003,74.3073
Argentina,ARG,2004,74.8713
Argentina,ARG,2005,75.2306
Argentina,ARG,2006,75.2791
Argentina,ARG,2007,74.7827
Argentina,ARG,2008,75.4281
Argentina,ARG,2009,75.5773
Argentina,ARG,2010,75.68
Argentina,ARG,2011,76.0998
Argentina,ARG,2012,75.8024
Argentina,ARG,2013,75.8292
Argentina,ARG,2014,76.2678
Argentina,ARG,2015,76.5995
Argentina,ARG,2016,76.105
Argentina,ARG,2017,76.5434
Argentina,ARG,2018,76.7698
Argentina,ARG,2019,76.8475
Argentina,ARG,2020,75.8781
Argentina,ARG,2021,73.9485
Argentina,ARG,2022,75.8061
Argentina,ARG,2023,77.3947
Brazil,BRA,1990,65.8624
Brazil,BRA,1991,66.203
Brazil,BRA,1992,66.5393
Brazil,BRA,1993,66.8923
Brazil,BRA,1994,67.2934
Brazil,BRA,1995,67.7006
Brazil,BRA,1996,68.1084
Brazil,BRA,1997,68.505
Brazil,BRA,1998,68.8482
Brazil,BRA,1999,69.2111
Brazil,BRA,2000,69.5842
Brazil,BRA,2001,69.98
Brazil,BRA,2002,70.3958
Brazil,BRA,2003,70.8841
Brazil,BRA,2004,71.3611
Brazil,BRA,2005,71.8319
Brazil,BRA,2006,72.2963
Brazil,BRA,2007,72.7297
Brazil,BRA,2008,73.1109
Brazil,BRA,2009,73.4569
Brazil,BRA,2010,73.779
Brazil,BRA,2011,74.0473
Brazil,BRA,2012,74.3346
Brazil,BRA,2013,74.6093
